time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,upper_back_x,upper_back_y,upper_back_z,sippc_action,robot_vel_l,robot_vel_r
0.24,0.161863,0.293077,-0.094401,NaN,NaN,NaN,0.138,0.230117,-0.01756,0.261624,-0.166601,-0.087897,0.210451,0.116307,-0.026164,0.243835,-0.080402,0.014716,-0.120649,0.03994,-0.025305,-0.113347,-0.102944,-0.044121,-0.249438,-0.005181,0.022246,-0.24436,-0.151787,-0.080643,-0.259956,-0.044894,-0.071691,-0.246566,-0.16711,-0.181995,0.227143,0.017952,-0.005724,0,-0.011424,-0.028258
0.26,0.161767,0.293065,-0.09449,0.319951,-0.114002,-0.153337,0.137962,0.230143,-0.0176,0.261769,-0.166615,-0.087879,0.21041,0.116331,-0.02621,0.243863,-0.080366,0.014671,-0.120693,0.040039,-0.025204,-0.113363,-0.10312,-0.04394,-0.249421,-0.004872,0.022712,-0.24437,-0.152152,-0.08023,-0.259962,-0.044192,-0.071388,-0.246564,-0.167959,-0.181509,0.227136,0.017982,-0.005769,0,-0.011498,-0.028394
0.28,0.161696,0.29307,-0.094539,0.320606,-0.114193,-0.153119,0.137901,0.230188,-0.017613,0.262006,-0.166582,-0.087854,0.210352,0.116377,-0.026217,0.243902,-0.080308,0.014641,-0.12073,0.04014,-0.025141,-0.113386,-0.10335,-0.043698,-0.249404,-0.004569,0.023108,-0.244368,-0.152694,-0.07965,-0.259925,-0.043515,-0.07115,-0.24654,-0.169022,-0.180846,0.227127,0.018034,-0.005788,0,-0.011573,-0.028531
0.3,0.161724,0.29315,-0.094562,0.321484,-0.114718,-0.152864,0.137904,0.230246,-0.017661,0.26227,-0.16663,-0.087773,0.210309,0.116405,-0.026248,0.24393,-0.080269,0.014605,-0.120773,0.040243,-0.025049,-0.11345,-0.103691,-0.043253,-0.249386,-0.004285,0.023528,-0.244413,-0.153504,-0.078625,-0.259898,-0.042899,-0.070867,-0.246634,-0.170634,-0.179688,0.22712,0.018068,-0.005822,0,-0.011648,-0.028669
0.32,0.161818,0.293317,-0.094441,0.322721,-0.115285,-0.152339,0.137908,0.230357,-0.017614,0.262738,-0.166701,-0.087558,0.210242,0.116471,-0.026202,0.243977,-0.080191,0.014618,-0.120784,0.04028,-0.025034,-0.113516,-0.104209,-0.042649,-0.249364,-0.00416,0.023712,-0.244396,-0.154785,-0.077237,-0.259857,-0.042517,-0.070791,-0.246595,-0.172913,-0.178126,0.22711,0.01814,-0.005792,0,-0.011724,-0.028808
0.34,0.162008,0.293513,-0.094381,NaN,NaN,NaN,0.137966,0.23048,-0.017656,0.263195,-0.166849,-0.087311,0.210191,0.116519,-0.026173,0.244013,-0.080134,0.014614,-0.120784,0.040268,-0.025021,-0.113624,-0.104946,-0.041724,-0.249352,-0.004117,0.023807,-0.244415,-0.156344,-0.075424,-0.259889,-0.042349,-0.070741,-0.246801,-0.175736,-0.176074,0.227102,0.018193,-0.00578,0,-0.0118,-0.028948
0.36,0.162204,0.293671,-0.094338,0.325205,-0.116668,-0.151344,0.137977,0.23061,-0.017693,0.263659,-0.166862,-0.087073,0.210127,0.116593,-0.02608,0.244059,-0.080046,0.014685,-0.120756,0.040195,-0.025077,-0.113729,-0.105685,-0.040771,-0.249344,-0.004194,0.023693,-0.244423,-0.158007,-0.073411,-0.259932,-0.042383,-0.070867,-0.247078,-0.178351,-0.173865,0.227093,0.018273,-0.005698,0,-0.011877,-0.029089
0.38,0.162451,0.293743,-0.094407,0.326148,-0.117366,-0.151026,0.138088,0.230734,-0.017763,0.263952,-0.166916,-0.086882,0.210108,0.116624,-0.026011,0.244074,-0.08001,0.014746,-0.120735,0.040124,-0.025098,-0.113882,-0.106383,-0.03968,-0.249344,-0.004278,0.023606,-0.244558,-0.15947,-0.071136,-0.260036,-0.042432,-0.070957,-0.247563,-0.180251,-0.171491,0.227091,0.018307,-0.005632,0,-0.011954,-0.029232
0.4,0.162706,0.293697,-0.094541,0.32712,-0.11787,-0.150724,0.138189,0.230822,-0.017836,0.264338,-0.166929,-0.086775,0.210108,0.116638,-0.025946,0.244075,-0.080006,0.014763,-0.120705,0.040031,-0.025138,-0.114004,-0.107056,-0.038666,-0.249359,-0.004414,0.023408,-0.244646,-0.160877,-0.068993,-0.260154,-0.042551,-0.071149,-0.248107,-0.181834,-0.169297,0.227091,0.018316,-0.005592,0,-0.012031,-0.029375
0.42,NaN,NaN,NaN,NaN,NaN,NaN,0.138266,0.230895,-0.018003,0.264681,-0.167005,-0.086626,0.2101,0.116646,-0.025939,0.24408,-0.079996,0.01477,-0.12068,0.039952,-0.025167,-0.114082,-0.107756,-0.037715,-0.249385,-0.004522,0.023216,-0.244655,-0.162321,-0.066995,-0.260332,-0.04268,-0.071316,-0.248577,-0.183512,-0.167233,0.22709,0.018325,-0.005585,0,-0.012109,-0.02952
0.44,0.16312,0.293565,-0.094952,0.32887,-0.119033,-0.150186,0.138261,0.230976,-0.018123,0.265025,-0.167056,-0.086501,0.210058,0.116692,-0.025888,0.244109,-0.079953,0.014748,-0.120652,0.039877,-0.025218,-0.11408,-0.108417,-0.037015,-0.249415,-0.004632,0.022978,-0.244495,-0.163807,-0.065438,-0.260497,-0.042867,-0.071507,-0.248726,-0.185578,-0.165539,0.227084,0.01837,-0.00557,0,-0.012187,-0.029665
0.46,NaN,NaN,NaN,0.329453,-0.119691,-0.149993,0.138284,0.231055,-0.018295,0.265207,-0.167207,-0.086333,0.210019,0.116721,-0.025901,0.244136,-0.079915,0.014723,-0.120639,0.039833,-0.02523,-0.114051,-0.109059,-0.036399,-0.249443,-0.004708,0.022828,-0.244336,-0.165076,-0.06418,-0.260646,-0.043036,-0.071605,-0.248831,-0.187483,-0.164129,0.227077,0.018403,-0.005589,0,-0.012266,-0.029812
0.48,0.163197,0.293579,-0.095236,0.329861,-0.120026,-0.149829,0.138194,0.231132,-0.018337,0.265355,-0.167266,-0.086226,0.209936,0.116798,-0.025863,0.244192,-0.07983,0.014685,-0.120616,0.039759,-0.025257,-0.114004,-0.109507,-0.036038,-0.249423,-0.00485,0.02273,-0.244168,-0.166014,-0.063394,-0.260648,-0.043223,-0.071682,-0.248772,-0.188924,-0.163224,0.227064,0.018484,-0.005589,0,-0.012346,-0.02996
0.5,0.163136,0.293566,-0.095376,0.330137,-0.120426,-0.149824,0.138178,0.231188,-0.018407,0.265413,-0.16733,-0.086194,0.209887,0.11683,-0.025901,0.244225,-0.079789,0.014621,-0.120605,0.039706,-0.025249,-0.113984,-0.109729,-0.035846,-0.249381,-0.004988,0.022743,-0.244114,-0.166431,-0.062956,-0.260603,-0.043414,-0.071648,-0.248721,-0.189674,-0.162708,0.227056,0.01852,-0.00564,0,-0.012425,-0.030109
